2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1205-认知产能3丨跳出思维的盒子.mp3 -> E:\认知方法论\音频归类\bf1205-认知产能3丨跳出思维的盒子.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1206-认知产能4丨拥抱认知的痛感.mp3 -> E:\认知方法论\音频归类\bf1206-认知产能4丨拥抱认知的痛感.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1207-问答35丨认知加工是不是给信息分类.mp3 -> E:\认知方法论\音频归类\bf1207-问答35丨认知加工是不是给信息分类.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1208-认知产能丨本单元十大精彩留言.mp3 -> E:\认知方法论\音频归类\bf1208-认知产能丨本单元十大精彩留言.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1210-认知与范式1丨什么是认知中的第一性原理.mp3 -> E:\认知方法论\音频归类\bf1210-认知与范式1丨什么是认知中的第一性原理.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1212-认知与范式3丨什么叫以简驭繁？.mp3 -> E:\认知方法论\音频归类\bf1212-认知与范式3丨什么叫以简驭繁？.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1213-认知与范式4丨“大道至简”对普通人有什么意义.mp3 -> E:\认知方法论\音频归类\bf1213-认知与范式4丨“大道至简”对普通人有什么意义.mp3
2019/12/21 19:31:58: 复制: E:\认知方法论 - 副本\音频归类\bf1214-问答36丨有什么利于加工和输出的具体方法.mp3 -> E:\认知方法论\音频归类\bf1214-问答36丨有什么利于加工和输出的具体方法.mp3
2019/12/21 19:31:59: 复制: E:\认知方法论 - 副本\音频归类\bf1215-以简驭繁3丨自然、经济、哲学现象背后的统一性.mp3 -> E:\认知方法论\音频归类\bf1215-以简驭繁3丨自然、经济、哲学现象背后的统一性.mp3
2019/12/21 19:31:59: 复制: E:\认知方法论 - 副本\音频归类\bf1217-以简驭繁1丨“简单粗暴、直接有效”有道理吗？.mp3 -> E:\认知方法论\音频归类\bf1217-以简驭繁1丨“简单粗暴、直接有效”有道理吗？.mp3
2019/12/21 19:31:59: 复制: E:\认知方法论 - 副本\音频归类\bf1218-以简驭繁2丨远离热闹，回归门道.mp3 -> E:\认知方法论\音频归类\bf1218-以简驭繁2丨远离热闹，回归门道.mp3
2019/12/21 19:31:59: 复制: E:\认知方法论 - 副本\音频归类\bf1219-以简驭繁3丨自然、经济、哲学现象背后的统一性.mp3 -> E:\认知方法论\音频归类\bf1219-以简驭繁3丨自然、经济、哲学现象背后的统一性.mp3
2019/12/21 19:31:59: 复制: E:\认知方法论 - 副本\音频归类\bf1220-以简驭繁4丨为什么说教是最好的学.mp3 -> E:\认知方法论\音频归类\bf1220-以简驭繁4丨为什么说教是最好的学.mp3
2019/12/21 19:32:00: 复制: E:\认知方法论 - 副本\音频归类\bf1221-问答37丨有没有自己的人生哲学，重要吗？.mp3 -> E:\认知方法论\音频归类\bf1221-问答37丨有没有自己的人生哲学，重要吗？.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1222-以简驭繁丨本单元十大精彩留言.mp3 -> E:\认知方法论\音频归类\bf1222-以简驭繁丨本单元十大精彩留言.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1224-认知与道德1丨善良和聪明，哪个更重要.mp3 -> E:\认知方法论\音频归类\bf1224-认知与道德1丨善良和聪明，哪个更重要.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1225-认知与道德2丨什么是正确的“赌性”？.mp3 -> E:\认知方法论\音频归类\bf1225-认知与道德2丨什么是正确的“赌性”？.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1226-认知与道德3丨善良到底是什么.mp3 -> E:\认知方法论\音频归类\bf1226-认知与道德3丨善良到底是什么.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1227-认知与道德4丨道德问题的背后是认知问题.mp3 -> E:\认知方法论\音频归类\bf1227-认知与道德4丨道德问题的背后是认知问题.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1228-问答38丨什么是“高品质勤奋”和“高品质懒惰”？.mp3 -> E:\认知方法论\音频归类\bf1228-问答38丨什么是“高品质勤奋”和“高品质懒惰”？.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1229-认知与道德丨本单元十大精彩留言.mp3 -> E:\认知方法论\音频归类\bf1229-认知与道德丨本单元十大精彩留言.mp3
2019/12/21 19:32:01: 复制: E:\认知方法论 - 副本\音频归类\bf1231-认知与自由1丨你自由吗？.mp3 -> E:\认知方法论\音频归类\bf1231-认知与自由1丨你自由吗？.mp3
2019/12/21 19:36:28: 程序关闭 (admin/DESKTOP-P7UJA4U)
2019/12/21 19:41:03: 程序启动 (admin/DESKTOP-P7UJA4U) UTF-8
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\001- 总复习10丨认知是世界上最好的东西，也是最坏的东西.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\001-原始舒适区=0认知.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\002- 总复习11丨人类只是一个宏大游戏的头号玩家.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\002-无知即极乐，认知即痛苦.wav
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\003- 总复习12丨认知，是从星星之火到燎原之火的历程.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\003-眼前的世界是真实的，还是虚幻的？.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\004-给思维找一个支点.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\004-问答52丨如果身边的人有“受害者人格”，该怎么办？ .m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\005-  总复习（三）丨本单元十大精彩留言.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\005-问答丨为什么说“盲维”是“认知升级”的重要概念.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\006- 结束语丨认知炼金术.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\006-问答丨两性关系中的猫型人和狗型人.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\007-认知越狱与双环学习.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\008-所谓优势，就是不断地绕过陷阱2.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\009-矩阵式认知与苏格拉底.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\010-认知中的“月亮与六便士”.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\011-问答丨如何超越单环学习，实现双环学习？.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\012-本周问答丨如何知道自己是什么“材”（周日直播预告）.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\013-真真切切的幻觉.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\014-区分表征与实在.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\015-感觉生产系统.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\016-“虚幻”的快乐，还是“真实”的乏味？.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\017-  问答丨既然认知意味着痛苦，为什么不能选择舒适.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\018-从“盲人摸象”中获得的启示.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\019-所有物种都是残障者.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\020-不存在全能公司，我们也没有全知眼.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\021-品牌的最高境界是没有品牌.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\022-痛点从不是一个，而是一群.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\023-本周问答丨聪明的90后知道如何与环境相处.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\024-大脑的自动纠偏机制.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\025-“瞬间解码”是一个长期修炼的过程.m4a
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\026-认知与刷卡3丨效率高未必是好事.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\027-认知与刷卡4丨瞬间认知的机制：神经元的特权功能.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\028-问答05丨如何增加认识自己的维度.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\029-认知与刷卡丨本单元十大精彩留言.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\030-本周问答丨心灵越狱，才能俯视生活的桎梏.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\031-知行合一1建立神经元间的高带宽专线.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\032-知行合一2丨你心之外没有世界.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\033-知行合一3丨同步：云的状态决定端的状态.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\034-知行合一4丨“知行合一”的本质.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\035-问答06丨如何做到真正的“反思”？.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\036-知行合一丨本单元十大精彩留言.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\037-认知退化与格物致知1丨结果的简单，起点的复杂.mp3
2019/12/21 19:41:06: 删除: E:\认知方法论\音频归类\038-认知退化与格物致知2丨聪明人如何避免犯蠢错误？.mp3
